,name,iata_code
2047,Moshoeshoe I International Airport,MSU
2048,Nkaus Airport,NKU
2049,Pelaneng Airport,PEL
2050,Quthing Airport,UTG
2051,Qacha's Nek Airport,UNE
2052,Sehonghong Airport,SHK
2053,Sekakes Airport,SKQ
2054,Semonkong Airport,SOK
2055,Seshutes Airport,SHZ
2056,Thaba-Tseka Airport,THB
2057,Tlokoeng Airport,TKO
2058,Ai-Ais Airport,AIW
2059,Arandis Airport,ADI
2060,Gobabis Airport,GOG
2061,Grootfontein Airport,GFY
2062,Halali Airport,HAL
2063,Karasburg Airport,KAS
2064,Katima Mulilo Airport,MPA
2065,Keetmanshoop Airport,KMP
2066,Lianshulu Airport,LHU
2067,Luderitz Airport,LUD
2068,Mount Etjo Airport,MJO
2069,Midgard Airport,MQG
2070,Mokuti Lodge Airport,OKU
2071,Namutoni Airport,NNI
2072,Ondangwa Airport,OND
2073,Omega Airport,OMG
2074,Oranjemund Airport,OMD
2075,Okaukuejo Airport,OKF
2076,Opuwa Airport,OPW
2077,Oshakati Airport,OHI
2078,Otjiwarongo Airport,OTJ
2079,Rundu Airport,NDU
2080,Skorpion Mine Airport,RHN
2081,Swakopmund Municipal Aerodrome,SWP
2082,Sesriem Airstrip,SZM
2083,Terrace Bay Airport,TCY
2084,Tsumeb Airport,TSB
2085,Walvis Bay Airport,WVB
2086,Eros Airport,ERS
2087,Hosea Kutako International Airport,WDH
2088,Ndjili International Airport,FIH
2089,Ndolo Airport,NLO
2090,Muanda Airport,MNB
2091,Boma Airport,BOA
2092,Luozi Airport,LZI
2093,Tshimpi Airport,MAT
2094,N'Kolo-Fuma Airport,NKL
2095,Inongo Airport,INO
2096,Nioki Airport,NIO
2097,Bandundu Airport,FDU
2098,Kiri Airport,KRZ
2099,Kikwit Airport,KKW
2100,Idiofa Airport,IDF
2101,Lusanga Airport,LUS
2102,Masi Manimba Airport,MSM
2103,Mbandaka Airport,MDK
2104,Basankusu Airport,BSU
2105,Libenge Airport,LIE
2106,Gbadolite Airport,BDT
2107,Gemena Airport,GMA
2108,Kotakoli Airbase,KLI
2109,Bumba Airport,BMB
2110,Lisala Airport,LIQ
2111,Boende Airport,BNB
2112,Ikela Airport,IKL
2113,Bangoka International Airport,FKI
2114,Yangambi Airport,YAN
2115,Matari Airport,IRP
2116,Bunia Airport,BUX
2117,Buta Zega Airport,BZU
2118,Bukavu Kavumu Airport,BKY
2119,Rughenda Airfield,RUE
2120,Goma International Airport,GOM
2121,Beni Airport,BNC
2122,Kindu Airport,KND
2123,Kinkungwa Airport,KLY
2124,Punia Airport,PUN
2125,Lubumbashi International Airport,FBM
2126,Kasenga Airport,KEC
2127,Kolwezi Airport,KWZ
2128,Manono Airport,MNO
2129,Moba Airport,BDV
2130,Kalemie Airport,FMI
2131,Kabalo Airport,KBO
2132,Kongolo Airport,KOO
2133,Kamina City Airport,KMN
2134,Kapanga Airport,KAP
2135,Kaniama Airport,KNM
2136,Kananga Airport,KGA
2137,Luiza Airport,LZA
2138,Tshikapa Airport,TSH
2139,Lodja Airport,LJA
2140,Lusambo Airport,LBO
2141,Mweka Airport,MEW
2142,Basongo Airport,BAN
2143,Ilebo Airport,PFR
2144,Mbuji Mayi Airport,MJM
2145,Tunta Airport,KBN
2146,Nkan Airstrip,NKA
2147,Miele Mimbale Airport,GIM
2148,Akieni Airport,AKE
2149,Gamba Airport,GAX
2150,Gabbs Airport,GAB
2151,Modibo Keita International Airport,BKO
2152,Goundam Airport,GUD
2153,Gao Airport,GAQ
2154,Kenieba Airport,KNZ
2155,Koutiala Airport,KTX
2156,Kayes Dag Dag Airport,KYS
2157,Mopti Ambodédjo International Airport,MZI
2158,Nara Airport,NRM
2159,Nioro du Sahel Airport,NIX
2160,Sikasso Airport,KSS
2161,Timbuktu Airport,TOM
2162,Yélimané Airport,EYL
2163,Guasopa Airport,GAZ
2164,Dornoch Airfield,DOC
2165,Flotta Isle Airstrip,FLH
2166,Foula Airfield,FOA
2167,Out Skerries Airfield,OUK
2168,Papa Stour Airport,PSV
2169,Glenforsa Airfield,ULL
2170,Garbaharey Airport,GBM
2171,Banjul International Airport,BJL
2172,Fuerteventura Airport,FUE
2173,La Gomera Airport,GMZ
2174,El Hierro Airport,VDE
2175,La Palma Airport,SPC
2176,Gran Canaria Airport,LPA
2177,César Manrique-Lanzarote Airport,ACE
2178,Tenerife Sur Airport,TFS
2179,Gravatai Airport,GCV
2180,Tenerife Norte-Ciudad de La Laguna Airport,TFN
2181,Ceuta Heliport,JCU
2182,Melilla Airport,MLN
2183,Gewoia Airport,GEW
2184,Camopi Airport,OYC
2185,Bo Airport,KBS
2186,Pope Field,GFD
2187,Gbangbatok Airport,GBK
2188,Hastings Airport,HGS
2189,Kabala Airport,KBA
2190,Kenema Airport,KEN
2191,Lungi International Airport,FNA
2192,Yengema Airport,WYE
2193,Bubaque Airport,BQE
2194,Osvaldo Vieira International Airport,OXB
2195,Garachiné Airport,GHE
2196,Akunnaaq Heliport,QCU
2197,Buchanan Airport,UCN
2198,Cape Palmas Airport,CPA
2199,Greenville/Sinoe Airport,SNI
2200,Spriggs Payne Airport,MLW
2201,Nimba Airport,NIA
2202,Gulgubip Airport,GLP
2203,Roberts International Airport,ROB
2204,Sasstown Airport,SAZ
2205,Tchien Airport,THC
2206,Voinjama Airport,VOI
2207,Al Massira Airport,AGA
2208,Tan Tan Airport,TTA
2209,Bouarfa Airport,UAR
2210,Fes Saïss International Airport,FEZ
2211,Moulay Ali Cherif Airport,ERH
2212,Bassatine Airport,MEK
2213,Oujda Angads Airport,OUD
2214,Smara Airport,SMW
2215,Ben Slimane Airport,GMD
2216,Beni Mellal Airport,BEM
2217,Rabat-Salé Airport,RBA
2218,Dakhla Airport,VIL
2219,Essaouira-Mogador Airport,ESU
2220,Hassan I Airport,EUN
2221,Mohammed V International Airport,CMN
2222,Nador Al Aaroui International Airport,NDR
2223,Menara Airport,RAK
2224,Kenitra Air Base,NNA
2225,Ouarzazate Airport,OZZ
2226,Golog Maqên Airport,GMQ
2227,Cherif Al Idrissi Airport,AHU
2228,Sania Ramel Airport,TTU
2229,Tangier Ibn Battuta Airport,TNG
2230,Goodnews Airport,GNU
2231,Blaise Diagne International Airport,DSS
2232,Gora Airstrip,GOC
2233,Kolda/Sare Bidji Airport,KDA
2234,Ziguinchor Airport,ZIG
2235,Cap Skirring Airport,CSK
2236,Kaolack Airport,KLC
2237,Léopold Sédar Senghor International Airport,DKR
2238,Ouro Sogui Airport,MAX
2239,Podor Airport,POD
2240,Richard Toll Airport,RDT
2241,Saint Louis Airport,XLS
2242,Bakel Airport,BXE
2243,Kédougou Airport,KGG
2244,Simenti Airport,SMY
2245,Tambacounda Airport,TUD
2246,Aioun el Atrouss Airport,AEO
2247,Boutilimit Airport,OTL
2248,Tichitt Airport,THI
2249,Tidjikja Airport,TIY
2250,Abbaye Airport,BGH
2251,Kiffa Airport,KFA
2252,Timbedra Airport,TMD
2253,Néma Airport,EMN
2254,Akjoujt Airport,AJJ
2255,Kaédi Airport,KED
2256,Letfotar Airport,MOM
2257,Nouakchott–Oumtounsy International Airport,NKC
2258,Sélibaby Airport,SEY
2259,Tamchakett Airport,THT
2260,Atar International Airport,ATR
2261,Fderik Airport,FGD
2262,Nouadhibou International Airport,NDB
2263,Tazadit Airport,OUZ
2264,Grand Cess Airport,GRC
2265,Granite Mountain Air Station,GMT
2266,Chiquimula Airport,CIQ
2267,Dos Lagunas Airport,DON
2268,El Naranjo Airport,ENJ
2269,Paso Caballos Airport,PCG
2270,Uaxactun Airport,UAX
2271,Playa Grande Airport,PKJ
2272,Kirawira B Aerodrome,GTZ
2273,Conakry International Airport,CKY
2274,Guriaso (Keraso) Airport,GUE
2275,Fria Airport,FIG
2276,Faranah Airport,FAA
2277,Kissidougou Airport,KSI
2278,Tata Airport,LEK
2279,Macenta Airport,MCA
2280,Nzérékoré Airport,NZE
2281,Boké Baralande Airport,BKJ
2282,Sambailo Airport,SBI
2283,Siguiri Airport,GII
2284,Kankan Airport,KNN
2285,Amílcar Cabral International Airport,SID
2286,Agostinho Neto Airport,NTO
2287,Rabil Airport,BVC
2288,Gordonsville Municipal Airport,GVE
2289,Maio Airport,MMO
2290,Mosteiros Airport,MTI
2291,Nelson Mandela International Airport,RAI
2292,São Filipe Airport,SFL
2293,Preguiça Airport,SNE
2294,São Pedro Airport,VXE
2295,Bemichi Airport,BCG
2296,Botopasi Airport,BTO
2297,Djumu-Djomoe Airport,DOE
2298,Ladouanie Airport,LDO
2299,Washabo Airport,WSO
2300,Ghazni Airport,GZI
2301,Addis Ababa Bole International Airport,ADD
2302,Arba Minch Airport,AMH
2303,Axum Airport,AXU
2304,Baco Airport,BCO
2305,Bahir Dar Airport,BJR
2306,Beica Airport,BEI
2307,Dembidollo Airport,DEM
2308,Debre Markos Airport,DBM
2309,Aba Tenna Dejazmach Yilma International Airport,DIR
2310,Debre Tabor Airport,DBT
2311,Fincha Airport,FNH
2312,Robe Airport,GOB
2313,Ghinnir Airport,GNN
2314,Gambela Airport,GMB
2315,Gondar Airport,GDQ
2316,Gode Airport,GDE
2317,Gore Airport,GOR
2318,Harar Meda Airport,QHR
2319,Humera Airport,HUE
2320,Wilwal International Airport,JIJ
2321,Jimma Airport,JIM
2322,Kebri Dahar Airport,ABK
2323,Kelafo East Airport,LFO
2324,Hawassa International Airport,AWA
2325,Lalibella Airport,LLI
2326,Mekane Selam Airport,MKS
2327,Alula Aba Nega Airport,MQX
2328,Metema Airport,ETE
2329,Mendi Airport,NDM
2330,Mui River Airport,MUJ
2331,Mizan Teferi Airport,MTF
2332,Negele Airport,EGL
2333,Nejjo Airport,NEJ
2334,Nekemte Airport,NEK
2335,Beles Airport,PWI
2336,Soddu Airport,SXU
2337,Shakiso Airport,SKR
2338,Semera Airport,SZE
2339,Asosa Airport,ASO
2340,Tippi Airport,TIE
2341,Warder Airport,WRA
2342,Hatzfeldhaven Airport,HAZ
2343,Bujumbura Melchior Ndadaye International Airport,BJM
2344,Gitega Airport,GID
2345,Kirundo Airport,KRE
2346,Haibei Qilian Airport,HBQ
2347,Hambantota Seaplane Base,HBT
2348,Caluula Airport,ALU
2349,Baidoa Airport,BIB
2350,Qandala Airport,CXN
2351,Baardheere Airport,BSY
2352,Eil Airport,HCM
2353,Bosaso / Bender Qassim International Airport,BSA
2354,Gardo Airport,GSR
2355,Egal International Airport,HGA
2356,Berbera Airport,BBO
2357,Lugh Ganane Airport,LGX
2358,Kismayo Airport,KMU
2359,Aden Adde International Airport,MGQ
2360,Beledweyne Airport,BLW
2361,Hobyo Airport,CMO
2362,Galcaio Airport,GLK
2363,Iskushuban Airport,CMS
2364,Erigavo Airport,ERA
2365,Burao Airport,BUO
2366,Garowe Airport,GGR
2367,Djibouti-Ambouli Airport,JIB
2368,Ali-Sabieh Airport,AII
2369,Moucha Airport,MHI
2370,Obock Airport,OBC
2371,Tadjoura Airport,TDJ
2372,El Minya Airport,EMY
2373,Bardawil International Airport,RDL
2374,Sidi EL Barrani Airport,SQK
2375,El Alamein International Airport,DBB
2376,El Arish International Airport,AAC
2377,Asyut International Airport,ATZ
2378,Borj El Arab International Airport,HBE
2379,Abu Simbel Airport,ABS
2380,Cairo International Airport,CAI
2381,Capital International Airport,CCE
2382,Ad Dakhla Airport,DAK
2383,Hurghada International Airport,HRG
2384,El Jora Airport,EGH
2385,El Kharja Airport,UVL
2386,Luxor International Airport,LXR
2387,Marsa Alam International Airport,RMF
2388,Marsa Matruh International Airport,MUH
2389,Haelogo Airport,HEO
2390,El Owainat East International Airport,GSQ
2391,Port Said International Airport,PSD
2392,Saint Catherine International Airport,SKV
2393,Suhaj Mubarak International Airport,HMB
2394,Sharm El Sheikh International Airport,SSH
2395,Aswan International Airport,ASW
2396,Siwa Oasis North Airport,SEW
2397,Sphinx International Airport,SPX
2398,Taba International Airport,TCP
2399,At Tur Airport,ELT
2400,Hanchey Army (Fort Rucker) Heliport,HEY
2401,Tusi (Hunter Liggett) Army Heliport,HGT
2402,Asmara International Airport,ASM
2403,Massawa International Airport,MSW
2404,Assab International Airport,ASA
2405,Tessenei Airport,TES
2406,Princeville Airport,HPV
2407,Waikoloa Heliport,WKL
2408,Huai'an Lianshui International Airport,HIA
2409,Shilavo Airport,HIL
2410,Juba International Airport,JUB
2411,Amboseli Airport,ASV
2412,Healy Lake Airport,HKB
2413,Eldoret International Airport,EDL
2414,Eliye Springs Airport,EYS
2415,Kalokol Airport,KLK
2416,Garissa Airport,GAS
2417,Hola Airport,HOA
2418,Jomo Kenyatta International Airport,NBO
2419,Keekorok Airport,KEU
2420,Kakamega Airport,GGM
2421,Kisumu Airport,KIS
2422,Kilaguni Airport,ILU
2423,Kericho Airport,KEY
2424,Kitale Airport,KTL
2425,Lokichoggio Airport,LKG
2426,Lodwar Airport,LOK
2427,Manda Airport,LAU
2428,Loyengalani Airport,LOY
2429,Mandera Airport,NDE
2430,Marsabit Airport,RBT
2431,Mulika Lodge Airport,JJM
2432,Malindi Airport,MYD
2433,Moi International Airport,MBA
2434,Mara Serena Lodge Airstrip,MRE
2435,Moyale Airport,OYL
2436,Nyeri Airport,NYE
2437,Nakuru Airport,NUU
2438,Nairobi Wilson Airport,WIL
2439,Nanyuki Airport,NYK
2440,Samburu Airport,UAS
2441,Ukunda Airstrip,UKA
2442,Wajir Airport,WJR
2443,Sirt International Airport / Ghardabiya Airbase,SRX
2444,Ghat Airport,GHT
2445,Kufra Airport,AKF
2446,Benina International Airport,BEN
2447,Mitiga International Airport,MJI
2448,Al Abraq International Airport,LAQ
2449,Sabha Airport,SEB
2450,Marsa al Brega Airport,LMQ
2451,Nafurah 1 Airport,NFR
2452,Hon Airport,HUQ
2453,Ghadames East Airport,LTD
2454,Tobruk International Airport,TOB
2455,Alzintan Airport,ZIS
2456,Zuwarah International Airport,WAX
2457,Erandique Airport,EDQ
2458,Nhon Co Airfield,HOO
2459,Sary Su Airport,HRC
2460,Gisenyi Airport,GYI
2461,Butare Airport,BTQ
2462,Kigali International Airport,KGL
2463,Ruhengeri Airport,RHG
2464,Kamembe Airport,KME
2465,Atbara Airport,ATB
2466,Al Dabbah Airport,EDB
2467,Dongola Airport,DOG
2468,Damazin Airport,RSS
2469,El Fasher Airport,ELF
2470,Galegu Airport,DNX
2471,Geneina Airport,EGN
2472,Heglig Airport,HEG
2473,Zhengzhou Shangjie Airport,HSJ
2474,Kassala Airport,KSL
2475,Khashm El Girba Airport,GBU
2476,Kadugli Airport,KDX
2477,Rumbek Airport,RBX
2478,Merowe Airport,MWE
2479,En Nahud Airport,NUD
2480,Nyala Airport,UYL
2481,New Halfa Airport,NHF
2482,El-Obeid Airport,EBD
2483,Port Sudan New International Airport,PZU
2484,Khartoum International Airport,KRT
2485,Malakal Airport,MAK
2486,Wadi Halfa Airport,WHF
2487,Wau Airport,WUU
2488,Zalingei Airport,ZLX
2489,Arusha Airport,ARK
2490,Bukoba Airport,BKZ
2491,Julius Nyerere International Airport,DAR
2492,Dodoma Airport,DOD
2493,Chato/Geita Airport,GTC
2494,Songwe Airport,MBI
2495,Iringa Airport,IRI
2496,Kigoma Airport,TKQ
2497,Kilwa Airport,KIY
2498,Kilimanjaro International Airport,JRO
2499,Lindi Airport,LDI
2500,Lake Manyara Airport,LKY
2501,Khatgal Airport,HTM
2502,Mafia Airport,MFA
2503,Mwadui Airport,MWN
2504,Masasi Airport,XMI
2505,Mpanda Airport,NPY
2506,Moshi Airport,QSI
2507,Mtwara Airport,MYW
2508,Musoma Airport,MUZ
2509,Mwanza Airport,MWZ
2510,Nachingwea Airport,NCH
2511,Njombe Airport,JOM
2512,Pemba Airport,PMA
2513,Seronera Airport,SEU
2514,Songea Airport,SGX
2515,Sumbawanga Airport,SUT
2516,Shinyanga Airport,SHY
2517,Tabora Airport,TBO
2518,Tanga Airport,TGT
2519,Abeid Amani Karume International Airport,ZNZ
2520,Arua Airport,RUA
2521,Entebbe International Airport,EBB
2522,Gulu Airport,ULU
2523,Jinja Airport,JIN
2524,Kabalega Falls Airport,PAF
2525,Kajjansi Airfield,KJJ
2526,Kasese Airport,KSE
2527,Mbarara Airport,MBQ
2528,Masindi Airport,KCU
2529,Soroti Airport,SRT
2530,Tororo Airport,TRY
2531,Hawabango Airport,HWA
2532,Hawk Inlet Seaplane Base,HWI
2533,Hollis Clark Bay Seaplane Base,HYL
2534,Chengdu Huaizhou Airport,HZU
2535,Iboki Airport,IBI
2536,Indigo Bay Lodge Airport,IBL
2537,Sicogon Airstrip,ICO
2538,Pulau Panjang Airport,PPJ
2539,Notohadinegoro Airport,JBB
2540,Banyuwangi International Airport,BWX
2541,Bawean - Harun Thohir Airport,BXW
2542,Enggano Airport,ENG
2543,Blangkejeren Airport,GYO
2544,Sangia Nibandera Airport,KXB
2545,Dhoho International Airport,DHX
2546,Namniwel Airport,NAM
2547,Tebelian Airport,SQG
2548,Douw Aturure Airport,NBX
2549,Singkawang Airport (under construction),SKJ
2550,Bolaang Mongondow Airport,LKM
2551,Amman Mineral Nusa Tenggara Airport (under construction),PNW
2552,Apalapsili Airport,AAS
2553,Anggi Airport,AGD
2554,Gunung Batin Airport,AKQ
2555,Ayawasi Airport,AYW
2556,Batom Airport,BXM
2557,Dabra Airport,DRH
2558,Elelim Airport,ELR
2559,Ewer Asmat Airport,EWE
2560,Gag Island Airport,GAV
2561,Ilu Airport,IUL
2562,Karubaga Airport,KBF
2563,Kambuaya Airport,KBX
2564,Kamur Airport,KCD
2565,Kotabangun Airport,KOD
2566,Departi Parbo Airport,KRC
2567,Kelila Airport,LLN
2568,Lembata Wonopito Airport,LWE
2569,Lunyuk Airport,LYK
2570,Masalembo Airport,MSI
2571,Banaina Airport,NAF
2572,Obano Airport,OBD
2573,Jenderal Besar Soedirman Airport,PWL
2574,Sugimanuru Airport,RAQ
2575,Mentawai Airport,RKI
2576,Tumbang Samba Airport,TBM
2577,Tiom Airport,TMY
2578,Senggo Airport,ZEG
2579,Bilogai-Sugapa Airport,UGU
2580,Indagen Airport,IDN
2581,Iamalele Airport,IMA
2582,Inhaminga Airport,IMG
2583,Pakyong Airport,PYG
2584,Ayodhya Airport,AYJ
2585,Jindal Vijaynagar Airport,VDY
2586,Deoghar Airport,DGH
2587,Navi Mumbai International Airport (under construction),NMI
2588,Manohar International Airport,GOX
2589,Rashtrakavi Kuvempu Airport,RQY
2590,Itanagar Donyi Polo Hollongi Airport,HGI
2591,Utkela Airport,UKE
2592,Jagdalpur Airport,JGB
2593,Neyveli Airport,NVY
2594,Rajouri Airport,RJI
2595,Tezu Airport,TEI
2596,Jalgaon Airport,JLG
2597,Chinde Airport,INE
2598,Iokea Airport,IOK
2599,Ioma Airport,IOP
2600,Khaneh Airport,KHA
2601,Iranamadu Seaplane Base,IRU
2602,New Ishigaki Airport,ISG
2603,Itokama Airport,ITK
2604,Viveros Island Airport,IVI
2605,Daxing'anling Elunchun Airport,JGD
2606,Jinchang Jinchuan Airport,JIC
2607,Jos Orno Imsula Airport,JIO
2608,Qianjiang Wulingshan Airport,JIQ
2609,Comandante Ariston Pessoa Airport,JJD
2610,Quartz Creek Airport,JLA
2611,Jamba Airport,JMB
2612,Jinzhou Bay Airport,JNZ
2613,Josephstaal Airport,JOP
2614,Pentagon Army Heliport,JPN
2615,West 30th Street Heliport,JRA
2616,Downtown Manhattan Heliport,JRB
2617,Chizhou Jiuhuashan Airport,JUH
2618,Animas Air Park,AMK
2619,Broadus Airport,BDX
2620,Eureka Airport,EUE
2621,Jackpot Airport/Hayden Field,KPT
2622,Rolla Downtown Airport,RLA
2623,Elizabeth Field,FID
2624,Humboldt Municipal Airport,HUD
2625,Jefferson County International Airport,TWD
2626,Kayenta Airport,MVM
2627,Columbia County Airport,HCC
2628,Ardmore Downtown Executive Airport,AHD
2629,Grand Canyon West Airport,GCW
2630,Lampson Field,CKE
2631,Montague-Yreka Rohrer Field,ROF
2632,Fremont County Airport,CNE
2633,Rouses Point Seaplane Base,RSX
2634,Cooperstown-Westville Airport,COP
2635,Council Airport,CIL
2636,Parlin Field,NWH
2637,Iraan Municipal Airport,IRB
2638,Garrett County Airport,ODM
2639,Gansner Field,GNF
2640,Chiloquin State Airport,CHZ
2641,St. Mary's County Regional Airport,LTW
2642,"Union County, Troy Shelton Field",USC
2643,Arapahoe Municipal Airport,AHF
2644,Princeton Airport,PCT
2645,Calverton Executive Airpark,CTO
2646,Grand Lake Regional Airport,NRI
2647,Grants Pass Airport,GTP
2648,Jerry Tyler Memorial Airport,NLE
2649,Grand Coulee Dam Airport,GCD
2650,Valle Airport,VLE
2651,Perry-Foley Airport,FPY
2652,Manti-Ephraim Airport,NTJ
2653,Salina Gunnison Airport,SBO
2654,Central Jersey Regional Airport,JVI
2655,Eunice Airport,UCE
2656,Gold Beach Municipal Airport,GOL
2657,Kentland Municipal Airport,KKT
2658,Prentice Airport,PRW
2659,Maverick County Memorial International Airport,EGP
2660,Boulder City Municipal Airport,BLD
2661,Mesquite International Airport,MFH
2662,Iosco County Airport,ECA
2663,Florence Municipal Airport,FMU
2664,Anacortes Airport,OTS
2665,Roosevelt Municipal Airport,ROL
2666,Canton Municipal Airport,CTK
2667,North Fork Valley Airport,WPO
2668,Antlers Municipal Airport,ATE
2669,Austin Airport,ASQ
2670,Apalachicola Regional Airport,AAF
2671,Lehigh Valley International Airport,ABE
2672,Abilene Regional Airport,ABI
2673,Albuquerque International Sunport,ABQ
2674,Aberdeen Regional Airport,ABR
2675,Southwest Georgia Regional Airport,ABY
2676,Antrim County Airport,ACB
2677,Nantucket Memorial Airport,ACK
2678,Waco Regional Airport,ACT
2679,California Redwood Coast-Humboldt County Airport,ACV
2680,Atlantic City International Airport,ACY
2681,Lenawee County Airport,ADG
2682,Ada Regional Airport,ADT
2683,Ardmore Municipal Airport,ADM
2684,Addison Airport,ADS
2685,Joint Base Andrews,ADW
2686,Kake Seaplane Base,KAE
2687,Albert Lea Municipal Airport,AEL
2688,Alexandria International Airport,AEX
2689,Karato Airport,KAF
2690,USAF Academy Airfield,AFF
2691,Washington County Airport,WSG
2692,Jaffrey Airfield Silver Ranch Airport,AFN
2693,Afton Municipal Airport,AFO
2694,Perot Field/Fort Worth Alliance Airport,AFW
2695,Allegheny County Airport,AGC
2696,Magnolia Municipal Airport / Ralph C Weiser Field,AGO
2697,Augusta Regional At Bush Field,AGS
2698,Amedee Army Air Field,AHC
2699,Amery Municipal Airport,AHH
2700,Athens Ben Epps Airport,AHN
2701,Alliance Municipal Airport,AIA
2702,Anderson Municipal Darlington Field,AID
2703,Aiken Regional Airport,AIK
2704,Atlantic Municipal Airport,AIO
2705,George Downer Airport,AIV
2706,Lee C Fine Memorial Airport,AIZ
2707,Kar Airport,KAK
2708,Colorado Plains Regional Airport,AKO
2709,Akron Fulton International Airport,AKC
2710,Albany International Airport,ALB
2711,Alice International Airport,ALI
2712,Alamogordo White Sands Regional Airport,ALM
2713,St Louis Regional Airport,ALN
2714,Waterloo Regional Airport,ALO
2715,San Luis Valley Regional Airport/Bergman Field,ALS
2716,Walla Walla Regional Airport,ALW
2717,Thomas C Russell Field,ALX
2718,Rick Husband Amarillo International Airport,AMA
2719,Gratiot Community Airport,AMN
2720,Ames Municipal Airport,AMW
2721,Anniston Regional Airport,ANB
2722,Anderson Regional Airport,AND
2723,Salida Airport - Harriet Alexander Field,SLT
2724,Lee Airport,ANP
2725,Tri State Steuben County Airport,ANQ
2726,Ainsworth Regional Airport,ANW
2727,Anthony Municipal Airport,ANY
2728,Lima Allen County Airport,AOH
2729,Altoona Blair County Airport,AOO
2730,Centennial Airport,APA
2731,Napa County Airport,APC
2732,Naples Municipal Airport,APF
2733,Phillips Army Air Field,APG
2734,Mary Walker LZ Airport,APH
2735,Alpena County Regional Airport,APN
2736,Marion County Airport - Brown Field,APT
2737,Apple Valley Airport,APV
2738,Kamulai Airport,KAQ
2739,Acadiana Regional Airport,ARA
2740,Ann Arbor Municipal Airport,ARB
2741,Walnut Ridge Regional Airport,ARG
2742,Wharton Regional Airport,WHT
2743,Aurora Municipal Airport,AUZ
2744,Watertown International Airport,ART
2745,Lakeland Airport Noble F Lee Memorial Field,ARV
2746,Beaufort Executive Airport,BFT
2747,Aspen-Pitkin County Airport (Sardy Field),ASE
2748,Springdale Municipal Airport,SPZ
2749,Nashua Airport / Boire Field,ASH
2750,Harrison County Airport,ASL
2751,Talladega Municipal Airport,ASN
2752,Astoria Regional Airport,AST
2753,John F Kennedy Memorial Airport,ASX
2754,Ashley Municipal Airport,ASY
2755,Hartsfield Jackson Atlanta International Airport,ATL
2756,Artesia Municipal Airport,ATS
2757,Appleton International Airport,ATW
2758,Watertown Regional Airport,ATY
2759,Augusta State Airport,AUG
2760,Austin Municipal Airport,AUM
2761,Auburn Municipal Airport,AUN
2762,Auburn University Regional Airport,AUO
2763,Austin Bergstrom International Airport,AUS
2764,Wausau Downtown Airport,AUW
2765,Asheville Regional Airport,AVL
2766,Avon Park Executive Airport,AVO
2767,Wilkes Barre Scranton International Airport,AVP
2768,Marana Regional Airport,AVW
2769,Catalina Airport,AVX
2770,West Memphis Municipal Airport,AWM
2771,Algona Municipal Airport,AXG
2772,Chandler Field,AXN
2773,Altus Quartz Mountain Regional Airport,AXS
2774,Neil Armstrong Airport,AXV
2775,Angel Fire Airport,AXX
2776,Waycross Ware County Airport,AYS
2777,Arnold Air Force Base,TUH
2778,Kalamazoo Battle Creek International Airport,AZO
2779,Beale Air Force Base,BAB
2780,Barksdale Air Force Base,BAD
2781,Westfield-Barnes Regional Airport,BAF
2782,Columbus Municipal Airport,CLU
2783,Battle Mountain Airport,BAM
2784,Benson Municipal Airport,BBB
2785,Curtis Field,BBD
2786,Branson Airport,BKG
2787,Marlboro County Jetport - H E Avent Field Airport,BTN
2788,Broken Bow Municipal Airport,BBW
2789,Virginia Tech Montgomery Executive Airport,BCB
2790,Bryce Canyon Airport,BCE
2791,Boca Raton Airport,BCT
2792,Baudette International Airport,BDE
2793,Blanding Municipal Airport,BDG
2794,Bradley International Airport,BDL
2795,Igor I Sikorsky Memorial Airport,BDR
2796,Boulder Municipal Airport,WBU
2797,Bell Island Hot Springs Seaplane Base,KBE
2798,Beech Factory Airport,BEC
2799,Laurence G Hanscom Field,BED
2800,Southwest Michigan Regional Airport,BEH
2801,Bradford Regional Airport,BFD
2802,Western Neb. Rgnl/William B. Heilig Airport,BFF
2803,Boeing Field King County International Airport,BFI
2804,Meadows Field,BFL
2805,Mobile Downtown Airport,BFM
2806,Virgil I Grissom Municipal Airport,BFR
2807,Hutchinson County Airport,BGD
2808,Decatur County Industrial Air Park,BGE
2809,Greater Binghamton/Edwin A Link field,BGM
2810,Bangor International Airport,BGR
2811,Kahama Airstrip,KBH
2812,Hancock County-Bar Harbor Airport,BHB
2813,Birmingham-Shuttlesworth International Airport,BHM
2814,Block Island State Airport,BID
2815,Beatrice Municipal Airport,BIE
2816,Biggs Army Air Field (Fort Bliss),BIF
2817,Eastern Sierra Regional Airport,BIH
2818,Billings Logan International Airport,BIL
2819,Bismarck Municipal Airport,BIS
2820,Keesler Air Force Base,BIX
2821,Rocky Mountain Metropolitan Airport,BJC
2822,Bemidji Regional Airport,BJI
2823,Wayne County Airport,BJJ
2824,Stephens County Airport,BKD
2825,Baker City Municipal Airport,BKE
2826,Buckley Space Force Base,BFK
2827,Burke Lakefront Airport,BKL
2828,Allen C Perkinson Blackstone Army Air Field,BKT
2829,Raleigh County Memorial Airport,BKW
2830,Brookings Regional Airport,BKX
2831,Mercer County Airport,BLF
2832,Blythe Airport,BLH
2833,Bellingham International Airport,BLI
2834,Monmouth Executive Airport,BLM
2835,Blue Canyon Nyack Airport,BLU
2836,Scott AFB/Midamerica Airport,BLV
